building_id,db_id,floor_id,bounding_box_min_z
11111111-1111-1111-1111-111111111111,33897,00856c02-8250-4129-a6c4-9c136cb7ccff,-14.45
11111111-1111-1111-1111-111111111111,33899,00856c02-8250-4129-a6c4-9c136cb7ccff,-13.65
11111111-1111-1111-1111-111111111111,33901,00856c02-8250-4129-a6c4-9c136cb7ccff,-14.98
11111111-1111-1111-1111-111111111111,33903,00856c02-8250-4129-a6c4-9c136cb7ccff,-14.98
11111111-1111-1111-1111-111111111111,33905,00856c02-8250-4129-a6c4-9c136cb7ccff,-14.94
11111111-1111-1111-1111-111111111111,33907,00856c02-8250-4129-a6c4-9c136cb7ccff,-14.95
11111111-1111-1111-1111-111111111111,33909,00856c02-8250-4129-a6c4-9c136cb7ccff,-14.94
11111111-1111-1111-1111-111111111111,33911,00856c02-8250-4129-a6c4-9c136cb7ccff,-14.94
11111111-1111-1111-1111-111111111111,33913,00856c02-8250-4129-a6c4-9c136cb7ccff,-14.94
11111111-1111-1111-1111-111111111111,33915,00856c02-8250-4129-a6c4-9c136cb7ccff,-14.95
11111111-1111-1111-1111-111111111111,33917,00856c02-8250-4129-a6c4-9c136cb7ccff,-14.94
11111111-1111-1111-1111-111111111111,33919,00856c02-8250-4129-a6c4-9c136cb7ccff,-14.98
11111111-1111-1111-1111-111111111111,33921,00856c02-8250-4129-a6c4-9c136cb7ccff,-14.98
11111111-1111-1111-1111-111111111111,33923,00856c02-8250-4129-a6c4-9c136cb7ccff,-14.65
11111111-1111-1111-1111-111111111111,33925,00856c02-8250-4129-a6c4-9c136cb7ccff,-14.65
11111111-1111-1111-1111-111111111111,33927,00856c02-8250-4129-a6c4-9c136cb7ccff,-14.65
11111111-1111-1111-1111-111111111111,33929,00856c02-8250-4129-a6c4-9c136cb7ccff,-14.61
11111111-1111-1111-1111-111111111111,33931,00856c02-8250-4129-a6c4-9c136cb7ccff,-16.46
11111111-1111-1111-1111-111111111111,33933,00856c02-8250-4129-a6c4-9c136cb7ccff,-14.65
11111111-1111-1111-1111-111111111111,33935,00856c02-8250-4129-a6c4-9c136cb7ccff,-13.44
11111111-1111-1111-1111-111111111111,33937,00856c02-8250-4129-a6c4-9c136cb7ccff,-14.41
11111111-1111-1111-1111-111111111111,33939,00856c02-8250-4129-a6c4-9c136cb7ccff,-11.37
11111111-1111-1111-1111-111111111111,33941,00856c02-8250-4129-a6c4-9c136cb7ccff,-16.45
11111111-1111-1111-1111-111111111111,33943,00856c02-8250-4129-a6c4-9c136cb7ccff,-14.74
11111111-1111-1111-1111-111111111111,33945,00856c02-8250-4129-a6c4-9c136cb7ccff,-11.13
11111111-1111-1111-1111-111111111111,33947,3d721f98-43fe-4506-8f26-3e1f82cd353b,-29.74
11111111-1111-1111-1111-111111111111,33949,00856c02-8250-4129-a6c4-9c136cb7ccff,-13.13
11111111-1111-1111-1111-111111111111,33951,4e720225-09be-4a20-b117-8e7e1ed6c54f,31.8
11111111-1111-1111-1111-111111111111,33953,e6d73e7e-cb1a-4b6d-bac6-4319943e0e3e,-47.22
11111111-1111-1111-1111-111111111111,33955,d9c1a0b9-ef61-4052-9630-e10284767a16,-43.02
11111111-1111-1111-1111-111111111111,33957,e6d73e7e-cb1a-4b6d-bac6-4319943e0e3e,-47.46
11111111-1111-1111-1111-111111111111,33959,e6d73e7e-cb1a-4b6d-bac6-4319943e0e3e,-47.46
11111111-1111-1111-1111-111111111111,33961,e6d73e7e-cb1a-4b6d-bac6-4319943e0e3e,-48.77
11111111-1111-1111-1111-111111111111,33963,e6d73e7e-cb1a-4b6d-bac6-4319943e0e3e,-47.46
11111111-1111-1111-1111-111111111111,33965,e6d73e7e-cb1a-4b6d-bac6-4319943e0e3e,-48.53
11111111-1111-1111-1111-111111111111,33967,e6d73e7e-cb1a-4b6d-bac6-4319943e0e3e,-47.43
11111111-1111-1111-1111-111111111111,33969,e6d73e7e-cb1a-4b6d-bac6-4319943e0e3e,-47.43
11111111-1111-1111-1111-111111111111,33971,e6d73e7e-cb1a-4b6d-bac6-4319943e0e3e,-47.46
11111111-1111-1111-1111-111111111111,33973,e6d73e7e-cb1a-4b6d-bac6-4319943e0e3e,-47.46
11111111-1111-1111-1111-111111111111,33975,e6d73e7e-cb1a-4b6d-bac6-4319943e0e3e,-47.46
11111111-1111-1111-1111-111111111111,33977,e6d73e7e-cb1a-4b6d-bac6-4319943e0e3e,-48.77
11111111-1111-1111-1111-111111111111,33979,e6d73e7e-cb1a-4b6d-bac6-4319943e0e3e,-48.77
11111111-1111-1111-1111-111111111111,33981,3d721f98-43fe-4506-8f26-3e1f82cd353b,-26.46
11111111-1111-1111-1111-111111111111,33983,c1595300-71fd-443c-891b-15e5feb8e8cd,0.15
11111111-1111-1111-1111-111111111111,33985,e6d73e7e-cb1a-4b6d-bac6-4319943e0e3e,-47.22
11111111-1111-1111-1111-111111111111,33987,d9c1a0b9-ef61-4052-9630-e10284767a16,-43.02
11111111-1111-1111-1111-111111111111,33989,e6d73e7e-cb1a-4b6d-bac6-4319943e0e3e,-47.25
11111111-1111-1111-1111-111111111111,33991,c1595300-71fd-443c-891b-15e5feb8e8cd,-1.45
11111111-1111-1111-1111-111111111111,33993,c1595300-71fd-443c-891b-15e5feb8e8cd,0.13
